"strata","time","n.risk","n.event","surv","std.err","lower","upper"
"Trt=SK1M",252.333333333333,35,1,0.871794871794872,0.053533735662912,0.772938847695595,0.983294216293753
"Trt=SK1MH",27.8833333333333,37,1,0.972972972972973,0.0266592952387066,0.922099949173881,1
"Trt=SK1MH",30.9333333333333,36,1,0.945945945945946,0.0371746111029933,0.875820401667282,1
"Trt=SK1MH",31.6,35,1,0.918918918918919,0.0448742806527616,0.835044860666001,1
"Trt=SK1MH",33.9166666666667,34,1,0.891891891891892,0.0510486638704343,0.797246314425812,0.997773376218625
"Trt=SK1MH",35.25,33,1,0.864864864864865,0.0562027291794634,0.761436038394186,0.982342832176924
"Trt=SK1MH",39.8,32,2,0.810810810810811,0.0643883151819986,0.69394283548935,0.947360700776014
"Trt=SK1MH",39.9666666666667,30,1,0.783783783783784,0.0676770479000758,0.661756069236579,0.928313389601579
"Trt=SK1MH",40.45,29,1,0.756756756756757,0.070533865329866,0.630405032883284,0.908433085119474
"Trt=SK1MH",41.7833333333333,28,1,0.72972972972973,0.0730094868471483,0.599790100871015,0.887819718395019
"Trt=SK1MH",42.8166666666667,27,1,0.702702702702703,0.0751415986415377,0.569837080673963,0.86654783469279
"Trt=SK1MH",43.5333333333333,26,1,0.675675675675676,0.0769587564123648,0.540489566099144,0.844674249670967
"Trt=SK1MH",44.7,25,1,0.648648648648649,0.0784828401376964,0.511704122575552,0.822242875972913
"Trt=SK1MH",44.95,24,1,0.621621621621622,0.0797306582754116,0.483447134442149,0.799287890936365
"Trt=SK1MH",45.6833333333333,23,1,0.594594594594595,0.0807150246694596,0.455692680707597,0.775835879944641
"Trt=SK1MH",47.4666666666667,22,1,0.567567567567568,0.0814454922703658,0.428421077957222,0.751907318123901
"Trt=SK1MH",49.2833333333333,21,1,0.540540540540541,0.0819288525511173,0.401617876002927,0.727517606725579
"Trt=SK1MH",49.9,20,2,0.486486486486487,0.0821694664393835,0.349381188580622,0.677395089573787
"Trt=SK1MH",50.0333333333333,18,1,0.459459459459459,0.0819288525511173,0.323939991177385,0.651673151312712
"Trt=SK1MH",50.05,17,1,0.432432432432432,0.0814454922703658,0.298951447753886,0.625512303166291
"Trt=SK1MH",50.1,16,1,0.405405405405405,0.0807150246694596,0.274421295059833,0.598909580599737
"Trt=SK1MH",50.75,15,1,0.378378378378378,0.0797306582754116,0.250359397406822,0.571858690774872
"Trt=SK1MH",51.4666666666667,14,1,0.351351351351351,0.0784828401376964,0.226780199349751,0.544349870272553
"Trt=SK1MH",53.3833333333333,13,1,0.324324324324324,0.0769587564123648,0.203703426479733,0.516369651537966
"Trt=SK1MH",53.7166666666667,12,1,0.297297297297297,0.0751415986415377,0.181155119006632,0.487900554314682
"Trt=SK1MH",55.9666666666667,11,1,0.27027027027027,0.0730094868471483,0.159169136714336,0.458920746193794
"Trt=SK1MH",57.0666666666667,10,1,0.243243243243243,0.070533865329866,0.137789364448892,0.429403790489488
"Trt=SK1MH",59.4333333333333,9,1,0.216216216216216,0.0676770479000758,0.117073008196728,0.399318791538185
"Trt=SK1MH",60,8,1,0.189189189189189,0.0643883151819986,0.0970956745096851,0.368631759208724
"Trt=SK1MH",62.3333333333333,7,1,0.162162162162162,0.0605973853965117,0.0779595338913487,0.337310467681305
"Trt=SK1MH",62.4166666666667,6,1,0.135135135135135,0.0562027291794634,0.0598071891475782,0.30533962569165
"Trt=SK1MH",65.75,5,1,0.108108108108108,0.0510486638704343,0.0428470354373904,0.27276946746508
"Trt=SK1MH",65.8,4,1,0.0810810810810811,0.0448742806527616,0.0274045386388476,0.239892442486064
"Trt=SK1MH",66.4,3,1,0.0540540540540541,0.0371746111029934,0.014042071314325,0.208077618627238
"Trt=SK1MH",76.6166666666667,2,1,0.027027027027027,0.0266592952387066,0.00391001339982949,0.186817822657975
"Trt=SK1MH",76.7,1,1,0,NA,NA,NA
